M-G362 CSV Log File created by Python,Log Duration (sec): 10.000,Press CTRL-C to exit early,,,,,,,
Creation Date:,2017-02-02 16:21:01.747000,,,,,,,,,
Scaled 32-bit Data,SF_GYRO=+0.0050/2^16 dps/lsb,SF_ACCL=+0.125/2^16 mg/lsb,SF_TEMP=+0.0042725/2^16 degC/lsb,,,,,,
Sample No.,Gx[dps],Gy[dps],Gz[dps],Ax[mG],Ay[mG],Az[mG],Ts[deg.C],Counter[dec],Error
000000189,+0.071099,+0.009925,+0.130280,-172.242241,+890.966526,+430.275122,+34.455043,08868,,1486081262.010000
000000190,+0.112361,+0.045791,+0.075302,-172.008039,+891.544779,+430.279797,+34.455043,08914,,1486081262.010000
000000191,+0.127729,+0.081218,+0.075870,-172.827230,+891.086657,+429.582191,+34.455043,08961,,1486081262.010000
000000192,+0.112156,+0.121614,+0.050669,-173.412796,+889.586887,+429.454893,+34.446497,09008,,1486081262.011000
000000193,+0.107217,+0.111477,+0.040325,-172.024645,+887.841940,+429.317150,+34.455043,09055,,1486081262.011000
000000194,+0.097046,+0.045826,+0.039519,-173.534685,+888.426580,+429.211519,+34.455043,09102,,1486081262.011000
000000195,+0.030145,+0.050311,+0.048821,-175.260592,+891.322811,+430.752167,+34.455043,09149,,1486081262.011000
000000196,+0.055908,+0.060685,+0.028948,-175.604113,+892.829161,+430.883411,+34.455043,09196,,1486081262.011000
000000197,+0.117605,+0.081358,+0.024913,-174.087154,+893.400690,+431.579836,+34.455043,09243,,1486081262.011000
000000198,+0.112457,+0.121758,+0.004926,-172.457071,+893.625551,+431.924664,+34.455043,09289,,1486081262.012000
000000199,+0.148445,+0.101794,+0.020458,-173.045521,+892.355570,+431.334679,+34.455043,09336,,1486081262.012000
000000200,+0.158827,+0.056499,+0.015056,-173.870941,+890.740891,+430.162266,+34.455043,09383,,1486081262.012000
000000201,+0.168957,+0.036276,+0.050567,-173.300770,+889.238914,+428.986856,+34.450770,09430,,1486081262.012000
000000202,+0.101968,-0.004991,+0.135630,-171.557968,+887.491362,+429.776318,+34.455043,09477,,1486081262.013000
000000203,+0.112109,-0.015219,+0.186485,-171.779026,+888.761822,+431.064863,+34.455043,09524,,1486081262.013000
000000204,+0.132587,+0.075818,+0.167360,-172.934128,+890.733824,+431.319090,+34.455043,09571,,1486081262.013000
000000205,+0.153395,+0.081350,+0.091467,-174.556599,+893.056793,+430.998163,+34.455043,09618,,1486081262.014000
000000206,+0.158608,+0.051148,+0.086148,-175.251944,+894.450079,+430.665516,+34.455043,09664,,1486081262.014000
000000207,+0.096834,+0.045541,+0.105581,-175.137089,+894.450451,+430.433167,+34.455043,09711,,1486081262.014000
000000208,+0.066128,+0.005061,+0.079342,-173.863674,+892.708899,+430.412706,+34.455043,09758,,1486081262.014000
000000209,+0.045484,+0.055364,+0.074491,-173.867134,+891.086777,+430.629465,+34.455043,09805,,1486081262.014000
000000210,+0.066009,+0.100962,+0.065069,-173.644001,+890.511179,+429.347439,+34.455043,09852,,1486081262.015000
000000211,+0.148282,+0.101574,+0.071274,-173.404955,+890.854717,+430.277822,+34.455043,09899,,1486081262.015000
000000212,+0.199705,+0.096904,+0.077007,-171.304045,+890.958687,+431.663918,+34.455043,09946,,1486081262.015000
000000213,+0.086516,+0.101033,+0.085677,-171.294012,+892.693134,+432.492113,+34.455043,09993,,1486081262.015000
000000214,+0.096692,+0.070629,+0.136327,-172.916828,+895.132299,+432.056288,+34.455043,10039,,1486081262.015000
000000215,+0.174095,+0.046289,+0.071062,-172.571924,+894.089193,+431.929388,+34.455043,10086,,1486081262.015000
000000216,+0.168930,+0.086667,+0.056157,-173.163486,+893.168962,+430.646751,+34.455043,10133,,1486081262.016000
000000217,+0.137992,+0.096566,+0.050760,-172.939606,+891.086813,+430.162956,+34.450770,10180,,1486081262.016000
000000218,+0.107236,+0.091279,+0.045202,-173.411180,+889.930168,+429.689203,+34.455043,10227,,1486081262.016000
000000219,+0.096753,+0.045431,+0.130989,-172.134655,+887.838860,+430.361397,+34.455043,10274,,1486081262.016000
000000220,+0.148142,+0.050827,+0.141906,-173.060396,+887.839741,+431.060335,+34.455043,10321,,1486081262.016000
000000221,+0.184306,-0.004291,+0.121508,-174.334156,+889.929501,+430.852085,+34.455043,10368,,1486081262.017000
000000222,+0.220333,+0.046579,+0.086939,-175.026733,+890.625216,+431.324818,+34.455043,10414,,1486081262.017000
000000223,+0.199782,+0.071729,+0.066588,-175.494448,+891.556393,+430.407141,+34.455043,10461,,1486081262.017000
000000224,+0.117409,+0.091205,+0.080914,-174.920530,+891.442450,+429.244308,+34.455043,10508,,1486081262.017000
