M-G362 CSV Log File created by Python,Log Duration (sec): 300.000,Press CTRL-C to exit early,,,,,,,
Creation Date:,2017-02-20 15:23:58.914000,,,,,,,,,
Scaled 32-bit Data,SF_GYRO=+0.0050/2^16 dps/lsb,SF_ACCL=+0.125/2^16 mg/lsb,SF_TEMP=+0.0042725/2^16 degC/lsb,,,,,,
Sample No.,Gx[dps],Gy[dps],Gz[dps],Ax[mG],Ay[mG],Az[mG],Ts[deg.C],Counter[dec],Error
000000212,+0.161419,+0.056922,+0.091756,+1000.642952,+68.827368,-12.324087,+30.584157,13973,,1487633040.644000
000000213,+0.063598,+0.051189,+0.090382,+999.264679,+67.087444,-8.740456,+30.575612,14348,,1487633040.644000
000000214,+0.094774,+0.061712,+0.029942,+1001.809088,+70.212658,-12.314766,+30.584157,14723,,1487633040.644000
000000215,+0.110193,+0.021533,+0.029751,+1000.193293,+68.822378,-9.771189,+30.579885,15098,,1487633040.644000
000000216,+0.115372,+0.051811,+0.025042,+1000.305407,+69.750080,-10.922865,+30.584157,15473,,1487633040.664000
000000217,+0.079036,+0.081385,+0.116283,+1002.043188,+68.239447,-11.058687,+30.584157,15848,,1487633040.664000
000000218,+0.120354,+0.076901,+0.060923,+1002.752813,+69.853603,-9.770262,+30.584157,16223,,1487633040.664000
000000219,+0.115192,+0.092123,+0.035616,+1000.657726,+67.545341,-9.204987,+30.579885,16598,,1487633040.704000
000000220,+0.151178,+0.117531,+0.046516,+1001.101858,+67.089569,-12.457932,+30.584157,16973,,1487633040.704000
000000221,+0.094835,+0.092111,-0.005306,+999.032387,+68.475906,-9.423420,+30.584157,17348,,1487633040.704000
