frame	osa	sroa	vicon	draw	total
0.130	0.036	0.000	0.014	0.000	0.180
0.034	0.009	0.048	0.011	0.059	0.161
0.024	0.023	0.001	0.013	0.000	0.061
0.037	0.021	0.000	0.008	0.000	0.066
0.029	0.108	0.000	0.007	0.000	0.145
0.083	0.020	0.000	0.012	0.000	0.115
0.044	0.060	0.000	0.012	0.000	0.116
0.015	0.051	0.001	0.014	0.000	0.081
0.022	0.040	0.000	0.011	0.000	0.073
0.069	0.037	0.001	0.012	0.000	0.119
0.066	0.032	0.051	0.010	0.000	0.158
0.048	0.023	0.000	0.014	0.000	0.085
0.086	2.817	0.000	0.010	0.000	2.914
0.021	0.011	0.000	0.011	0.000	0.044
0.013	0.021	0.000	0.011	0.000	0.045
0.017	0.026	0.000	0.010	0.000	0.054
0.010	0.009	0.000	0.009	0.000	0.029
0.025	0.033	0.000	0.013	0.000	0.071
0.023	0.029	0.000	0.008	0.000	0.060
0.019	0.022	0.000	0.011	0.000	0.052
0.012	0.011	0.000	0.012	0.000	0.035
0.027	0.043	0.000	0.014	0.031	0.115
0.024	0.070	0.000	0.014	0.000	0.107
0.019	0.084	0.001	0.009	0.000	0.112
0.018	0.030	0.000	0.009	0.000	0.058
0.022	0.049	0.001	0.013	0.000	0.085
0.038	0.029	0.052	0.010	0.000	0.129
0.030	0.040	0.003	0.010	0.000	0.083
0.039	0.022	0.000	0.009	0.000	0.071
0.125	0.017	0.000	0.012	0.000	0.155
0.031	0.036	0.001	0.011	0.000	0.079
0.029	0.024	0.000	0.009	0.000	0.063
0.037	0.071	0.000	0.011	0.000	0.119
0.061	0.072	0.000	0.008	0.000	0.141
0.024	0.105	0.000	0.010	0.000	0.140
0.034	0.123	0.000	0.013	0.000	0.171
0.035	0.032	0.000	0.010	0.000	0.077
0.032	0.053	0.001	0.013	0.000	0.100
0.102	0.025	0.044	0.011	0.000	0.181
0.059	0.079	0.040	0.010	0.000	0.189
0.068	0.034	0.000	0.013	0.000	0.116
0.038	0.069	0.000	0.011	0.036	0.154
0.029	0.037	0.000	0.013	0.000	0.079
0.095	0.027	0.001	0.010	0.000	0.132
0.037	0.032	0.043	0.008	0.000	0.121
0.030	0.039	0.000	0.009	0.000	0.078
0.030	0.052	0.000	0.012	0.000	0.094
0.035	0.030	0.000	0.008	0.000	0.074
0.035	0.035	0.001	0.011	0.000	0.081
0.038	0.028	0.000	0.014	0.000	0.080
0.042	0.023	0.000	0.009	0.000	0.075
0.038	0.032	0.000	0.010	0.000	0.081
0.125	0.032	0.000	0.010	0.000	0.168
0.047	0.095	0.001	0.012	0.000	0.155
0.022	0.095	0.000	0.007	0.000	0.125
0.063	0.038	0.000	0.013	0.000	0.114
0.045	0.026	0.000	0.012	0.000	0.084
0.126	0.013	0.001	0.012	0.000	0.151
0.038	0.030	0.001	0.014	0.000	0.082
0.040	0.027	0.000	0.010	0.000	0.078
0.032	0.035	0.000	0.016	0.000	0.083
0.067	0.034	0.000	0.011	0.028	0.140
0.044	0.031	0.000	0.010	0.000	0.086
0.036	0.034	0.001	0.013	0.000	0.083
0.071	0.038	0.000	0.008	0.000	0.116
0.042	0.022	0.001	0.016	0.000	0.080
0.034	0.034	0.000	0.014	0.000	0.083
0.038	0.023	0.000	0.011	0.000	0.072
0.069	0.102	0.000	0.012	0.000	0.182
0.031	0.023	0.000	0.011	0.000	0.066
0.130	0.032	0.000	0.014	0.000	0.176
0.034	0.034	0.000	0.010	0.000	0.078
0.044	0.098	0.001	0.012	0.000	0.155
0.063	0.030	0.000	0.008	0.000	0.101
0.026	0.024	0.001	0.012	0.000	0.063
0.036	0.024	0.000	0.010	0.000	0.071
0.034	0.024	0.000	0.010	0.000	0.069
0.031	0.093	0.000	0.013	0.000	0.137
0.042	0.076	0.000	0.009	0.000	0.127
0.033	0.094	0.000	0.012	0.000	0.140
0.040	0.029	0.000	0.012	0.000	0.082
0.039	0.021	0.000	0.010	0.029	0.100
0.056	0.030	0.000	0.012	0.000	0.099
0.032	0.023	0.000	0.008	0.000	0.063
0.027	0.111	0.000	0.008	0.000	0.146
0.019	0.031	0.000	0.012	0.000	0.062
0.087	0.020	0.000	0.014	0.000	0.121
0.044	0.037	0.001	0.014	0.000	0.095
0.036	0.024	0.000	0.012	0.000	0.072
0.034	0.025	0.000	0.011	0.000	0.070
0.044	0.076	0.001	0.012	0.000	0.132
