frame	osa     sroa	vicon	draw	total
0.021	0.045	0.001	0.014	0.000	0.081
0.008	0.010	0.000	0.012	0.000	0.031
0.009	0.011	0.000	0.010	0.000	0.031
0.021	0.006	0.000	0.011	0.000	0.039
0.006	0.014	0.000	0.010	0.023	0.054
0.003	0.004	0.001	0.009	0.000	0.016
0.024	0.009	0.001	0.014	0.000	0.048
0.009	0.012	0.000	0.011	0.000	0.032
0.027	0.012	0.000	0.012	0.000	0.051
0.020	0.015	0.000	0.011	0.000	0.046
0.020	0.008	0.000	0.009	0.000	0.038
0.026	0.014	0.000	0.010	0.000	0.050
0.023	0.007	0.001	0.018	0.000	0.050
0.089	0.022	0.000	0.010	0.000	0.123
